File,Constructive Algorithm,Initial Distance,Perturbative Algorithm,Final Distance,Improvement
a280.tsp,NNH,3148.11,Two-Opt,2826.77,321.339
a280.tsp,NNH,3148.11,Node Shift,2889.2,258.912
a280.tsp,NNH,3148.11,Node Swap,3100.49,47.6178
a280.tsp,Cheapest Insertion,3101.79,Two-Opt,2826.15,275.64
a280.tsp,Cheapest Insertion,3101.79,Node Shift,2784.08,317.716
a280.tsp,Cheapest Insertion,3101.79,Node Swap,3040.45,61.3481
a280.tsp,Random Insertion,2975.94,Two-Opt,2840.45,135.483
a280.tsp,Random Insertion,2975.94,Node Shift,2855.76,120.179
a280.tsp,Random Insertion,2975.94,Node Swap,2935.81,40.1314
berlin52.tsp,NNH,8980.92,Two-Opt,8060.65,920.267
berlin52.tsp,NNH,8980.92,Node Shift,8320.34,660.583
berlin52.tsp,NNH,8980.92,Node Swap,8667.84,313.083
berlin52.tsp,Cheapest Insertion,9260.54,Two-Opt,7956.05,1304.5
berlin52.tsp,Cheapest Insertion,9260.54,Node Shift,8122.31,1138.24
berlin52.tsp,Cheapest Insertion,9260.54,Node Swap,9122.89,137.657
berlin52.tsp,Random Insertion,8320.84,Two-Opt,8023.42,297.424
berlin52.tsp,Random Insertion,8320.84,Node Shift,7979.47,341.37
berlin52.tsp,Random Insertion,8320.84,Node Swap,8023.42,297.424
bier127.tsp,NNH,135752,Two-Opt,124974,10777.9
bier127.tsp,NNH,135752,Node Shift,123696,12055.7
bier127.tsp,NNH,135752,Node Swap,128780,6972
bier127.tsp,Cheapest Insertion,138365,Two-Opt,133978,4386.97
bier127.tsp,Cheapest Insertion,138365,Node Shift,132885,5480.05
bier127.tsp,Cheapest Insertion,138365,Node Swap,136582,1783.87
bier127.tsp,Random Insertion,128251,Two-Opt,126357,1893.93
bier127.tsp,Random Insertion,128251,Node Shift,124948,3303.31
bier127.tsp,Random Insertion,128251,Node Swap,127580,670.753
ch130.tsp,NNH,7575.29,Two-Opt,6626.99,948.292
ch130.tsp,NNH,7575.29,Node Shift,6976.12,599.17
ch130.tsp,NNH,7575.29,Node Swap,7404.23,171.058
ch130.tsp,Cheapest Insertion,7275.77,Two-Opt,6816.14,459.628
ch130.tsp,Cheapest Insertion,7275.77,Node Shift,6531.97,743.796
ch130.tsp,Cheapest Insertion,7275.77,Node Swap,6966.14,309.625
ch130.tsp,Random Insertion,6876.96,Two-Opt,6567.52,309.442
ch130.tsp,Random Insertion,6876.96,Node Shift,6599.61,277.348
ch130.tsp,Random Insertion,6876.96,Node Swap,6733.12,143.84
ch150.tsp,NNH,8194.61,Two-Opt,6662.69,1531.92
ch150.tsp,NNH,8194.61,Node Shift,7328.93,865.685
ch150.tsp,NNH,8194.61,Node Swap,8119.93,74.6827
ch150.tsp,Cheapest Insertion,7786.21,Two-Opt,7014.97,771.236
ch150.tsp,Cheapest Insertion,7786.21,Node Shift,7146.03,640.176
ch150.tsp,Cheapest Insertion,7786.21,Node Swap,7460.18,326.031
ch150.tsp,Random Insertion,7404.64,Two-Opt,7107.25,297.396
